ID,Age,Sex
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300805,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300804,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301108,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300808,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-302005,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301903,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300807,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300806,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-302007,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301106,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301109,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-302008,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301107,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-302006,2,M
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0012,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301905,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301801,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301807,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300203,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300204,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300202,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301902,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301904,2,M
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0015,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301800,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300809,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301407,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300201,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300104,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300206,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300308,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300309,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300303,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300304,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300301,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300209,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300208,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300200,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300706,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300709,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300707,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300708,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300704,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300705,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300800,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300701,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300802,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300801,2,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar025,3,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar017,3,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300406,3,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300407,3,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300408,3,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar022,3,F
e82b3a98-028a-4548-b5dd-dbf7209c9895_sub-414994,3,M
e82b3a98-028a-4548-b5dd-dbf7209c9895_sub-414993,3,M
e82b3a98-028a-4548-b5dd-dbf7209c9895_sub-415001,3,F
e82b3a98-028a-4548-b5dd-dbf7209c9895_sub-415002,3,F
e82b3a98-028a-4548-b5dd-dbf7209c9895_sub-415000,3,F
e82b3a98-028a-4548-b5dd-dbf7209c9895_sub-414998,3,F
e82b3a98-028a-4548-b5dd-dbf7209c9895_sub-414997,3,M
e82b3a98-028a-4548-b5dd-dbf7209c9895_sub-414996,3,M
e82b3a98-028a-4548-b5dd-dbf7209c9895_sub-414995,3,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301105,3,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar006,3,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar011,3,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar027,3,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar026,3,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar028,3,M
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0018,3,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar020,3,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300409,3,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar008,3,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar012,3,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar019,3,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300405,3,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300404,3,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar009,3,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300108,3,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar016,3,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar013,3,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300105,3,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300400,3,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300401,3,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300402,3,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300403,3,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300109,3,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar014,3,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar023,3,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar015,4,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar030,4,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301501,4,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar021,4,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301500,4,M
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-24,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-11,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-23,4,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar005,4,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar004,4,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar001,4,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar002,4,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar003,4,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar031,4,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar029,4,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300905,4,M
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-13,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-12,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-20,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-18,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-19,4,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300909,4,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300908,4,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300907,4,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300906,4,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300903,4,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300904,4,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300901,4,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300902,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-09,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-22,4,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300900,4,M
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-16,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-08,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-05,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-06,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-07,4,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300107,4,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300106,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-01,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-04,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-03,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-02,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-21,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-10,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-17,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-15,4,F
5ecfee51-9bca-4ba7-9ca6-ddc17a9dab41_sub-14,4,F
